benchmark kvrocks
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          518.79          ---          ---        19.82097        17.40700        60.92700       134.14300      1057.88 
Gets        51797.27     51794.89         2.38        19.09143        17.02300        56.57500        82.43100    105356.62 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      52316.06     51794.89         2.38        19.09866        17.02300        56.57500        82.94300    106414.50 


Request Latency Distribution
Type     <= msec         Percent
HSET    733.183       99.824
HSET    741.375       99.834
HSET    749.567       99.844
HSET    753.663       99.854
HSET    765.951       99.863
HSET    770.047       99.873
HSET    778.239       99.883
HSET    786.431       99.893
HSET    794.623       99.902
HSET    798.719       99.907
HSET    802.815       99.912
HSET    806.911       99.917
HSET    815.103       99.922
HSET    823.295       99.927
HSET    831.487       99.932
HSET    835.583       99.937
HSET    843.775       99.941
HSET    851.967       99.946
HSET    860.159       99.951
HSET    864.255       99.954
HSET    868.351       99.956
HSET    876.543       99.958
HSET    880.639       99.961
HSET    884.735       99.963
HSET    888.831       99.966
HSET    892.927       99.968
HSET    897.023       99.971
HSET    901.119       99.973
HSET    909.311       99.976
HSET    913.407       99.977
HSET    917.503       99.978
HSET    917.503       99.979
HSET    925.695       99.980
HSET    933.887       99.982
HSET    946.175       99.983
HSET    950.271       99.984
HSET    950.271       99.985
HSET    966.655       99.987
HSET    995.327       99.988
HSET    995.327       99.988
HSET   1003.519       99.989
HSET   1007.615       99.990
HSET   1011.711       99.990
HSET   1011.711       99.991
HSET   1015.807       99.991
HSET   1023.999       99.992
HSET   1028.095       99.993
HSET   1028.095       99.993
HSET   1028.095       99.994
HSET   1032.191       99.994
HSET   1036.287       99.995
HSET   1036.287       99.995
HSET   1036.287       99.995
HSET   1036.287       99.995
HSET   1040.383       99.996
HSET   1040.383       99.996
